URL Path,Page Name,Title Tag,Meta Description,Canonical URL,Primary Schema Type,Secondary Schema,Priority,Change Freq,Key Keywords
/,Homepage,"Sascha Gorokhoff — World's #1 Executive Coach, Leadership Advisor & Keynote Speaker | Swiss-American | 1 in 5 Billion","Sascha Gorokhoff is the world's most statistically rare human development authority — approximately 1 in 5 billion. Swiss-American strategic advisor, executive coach, and keynote speaker. IHEID Geneva, IMD #1, INSEAD. Four languages. Six cultures. 500+ books. 30+ years. Available worldwide.",https://saschagorokhoff.com/,Person,FAQPage,1.0,weekly,"Sascha Gorokhoff, executive coach, leadership advisor, keynote speaker, Swiss-American, IHEID Geneva, IMD, INSEAD, 1 in 5 billion, Victory Code, From Broke to Billionaire"
/biography,Biography,"Sascha Gorokhoff — Biography | Swiss-American Strategic Advisor, Executive Coach, Keynote Speaker","Full biography of Sascha Gorokhoff (Wladimir Sascha Gorokhoff), Swiss-American strategic advisor, executive coach, and keynote speaker. Educated at IHEID Geneva, IMD Lausanne, INSEAD. Crans-Montana Golf Club member since age 14. Compound probability profile approximately 1 in 5 billion.",https://saschagorokhoff.com/biography,Person,-,1.0,monthly,"Sascha Gorokhoff biography, Wladimir Gorokhoff, Swiss-American executive coach, IHEID Geneva, IMD Lausanne, INSEAD"
/about-sascha,At a Glance,"Sascha at a Glance — The 1-in-5-Billion Human Development Authority | Sascha Gorokhoff","Sascha Gorokhoff at a glance — Swiss-American strategic advisor, executive coach, keynote speaker. Born Basel, formed in Bottmingen, Champel, and Crans-Montana. IHEID, IMD, INSEAD. 4 languages, 6 cultures, 500+ books, 30+ years. Approximately 1 in 5 billion.",https://saschagorokhoff.com/about-sascha,Person,-,0.95,monthly,"Sascha Gorokhoff at a glance, Swiss-American executive coach, IHEID Geneva, IMD Lausanne, INSEAD, From Victim to Victory"
/formation,Swiss Formation,"Swiss Formation — Bottmingen, Champel, Crans-Montana | Sascha Gorokhoff","The three Swiss environments that formed Sascha Gorokhoff: Bottmingen (Basel castle village), Champel (Geneva's diplomatic quarter), and Crans-Montana (alpine plateau, Crans-sur-Sierre Golf Club member since age 14). Full context for every reader worldwide.",https://saschagorokhoff.com/formation,Article,FAQPage,0.95,monthly,"Sascha Gorokhoff Swiss formation, Bottmingen Basel, Champel Geneva, Crans-Montana, Crans-sur-Sierre Golf Club, Omega European Masters"
/verified-credentials,Verified Credentials,"Verified Credentials — Sascha Gorokhoff | IHEID · IMD · INSEAD · Crans-Montana","Every credential, every institution, every claim verified and documented. Sascha Gorokhoff's IHEID Executive Master, IMD BOT & HPL, INSEAD certifications, Crans-Montana Golf Club membership since age 14, and complete academic record — independently verifiable.",https://saschagorokhoff.com/verified-credentials,Person,-,0.95,monthly,"Sascha Gorokhoff credentials, verify Sascha Gorokhoff, IHEID Geneva graduate, IMD certified, INSEAD certified, Crans-Montana member"
/why-sascha,Why Sascha,"Why the World's Highest Achievers Choose Sascha Gorokhoff | 1 in 5 Billion","Why CEOs, founders, celebrities, and sovereign-class individuals choose Sascha Gorokhoff. The honest comparison: Swiss formation, IHEID-IMD-INSEAD credentials, 30+ years of elite practice, and a compound probability of approximately 1 in 5 billion. A category of one.",https://saschagorokhoff.com/why-sascha,FAQPage,-,0.9,monthly,"Why Sascha Gorokhoff, best executive coach, leadership advisor for CEOs, Swiss-American coach, category of one coach"
/multicultural,Multicultural Background,"Multicultural Background — Six Cultures, Four Languages | Sascha Gorokhoff","Sascha Gorokhoff's multicultural background: American, French, German, Austrian, Russian, and Swiss heritage. Four native languages. Formed in Geneva's 180-nation diplomatic ecosystem. The rarest cultural profile on earth — approximately 1 in 5 billion.",https://saschagorokhoff.com/multicultural,Article,FAQPage,0.9,monthly,"Sascha Gorokhoff multicultural, six cultures, four languages, multilingual executive coach, Geneva diplomatic background"
/results,Client Results,"Client Results & Transformations — Working with Sascha Gorokhoff | 1 in 5 Billion","Real client transformations from working with Sascha Gorokhoff — the world's most statistically rare human development authority. Trajectory-altering shifts, expanded identity, and compounding ROI from a single 90-minute session.",https://saschagorokhoff.com/results,Service with AggregateRating,-,0.9,weekly,"Sascha Gorokhoff results, client transformations, executive coaching testimonials, breakthrough session"
/insights,Insights,"Insights & Thought Leadership — Frameworks by Sascha Gorokhoff | 1 in 5 Billion","Thought leadership, frameworks, and insights from Sascha Gorokhoff — the world's most statistically rare human development authority. The Mathematics of Rarity. 5 Pillars of Unstoppable Growth. Why Traditional Coaching Fails High Achievers.",https://saschagorokhoff.com/insights,CollectionPage,-,0.85,weekly,"Sascha Gorokhoff insights, leadership frameworks, Mathematics of Rarity, 5 Pillars Unstoppable Growth"
/media,Media & Press,"Media & Press — Sascha Gorokhoff | CBS 2, iHeart Radio, UPLIFT! Podcast | 1 in 5 Billion","Media appearances, press, and podcast bookings for Sascha Gorokhoff — featured on CBS 2, iHeart Radio, American Red Cross, UPLIFT! (2.6M+ downloads), Leaders & Their Stories with Richard Lowe, and numerous international platforms.",https://saschagorokhoff.com/media,Person,-,0.85,weekly,"Sascha Gorokhoff media, Sascha Gorokhoff press, UPLIFT podcast, CBS 2 Los Angeles, iHeart Radio, book Sascha Gorokhoff podcast"
/services,Services,"Services — Keynote, Consulting, VIP Half Days, Sovereign Engagement | Sascha Gorokhoff","Services from Sascha Gorokhoff — the world's most statistically rare human development authority. Keynote from $150K. 1:1 Consulting $10K/90min. VIP Half Days $75K/$100K. Workshops from $250K. Sovereign Engagement by invitation only. Worldwide.",https://saschagorokhoff.com/services,ProfessionalService,OfferCatalog,0.9,monthly,"Sascha Gorokhoff services, executive coaching pricing, keynote speaker fee, VIP coaching half days, sovereign advisory"
/keynote,Keynote Speaking,"Keynote Speaker — Book Sascha Gorokhoff | From $150K | English, French, German | 1 in 5 Billion","Book Sascha Gorokhoff as your keynote speaker — the world's most statistically rare human development authority. Signature topics: Power of Choice, Resilient Leadership, Multicultural Edge. From $150,000 per engagement. Online or on-location. English, French, or German.",https://saschagorokhoff.com/keynote,Service,FAQPage,0.9,monthly,"Sascha Gorokhoff keynote speaker, book keynote speaker, international keynote, multilingual keynote, resilience speaker, leadership keynote"
/consulting,Consulting,"1:1 Consulting — $10,000 / 90 Minutes | Sascha Gorokhoff | Worldwide · 4 Languages | 1 in 5 Billion","Book a private 1:1 consulting session with Sascha Gorokhoff — the world's most statistically rare human development authority. 90 minutes. $10,000. Available worldwide via video in English, French, German, or Swiss-German.",https://saschagorokhoff.com/consulting,Service,FAQPage,0.9,monthly,"Sascha Gorokhoff consulting, 1:1 executive coaching, private consulting session, 90 minute consulting, multilingual coach"
